,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket
166,14000000,Columbia Pictures Corporation,USA,Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,1986-05-02 00:00:00,97,6.3,Richard Pryor,1288,Rocco Urbisci,1986,1,0.28815357142857145,30
168,3401376,Cinema Group Ventures,USA,Renny Harlin,Action,3388020,Born American,R,1986-08-29 00:00:00,97,4.3,Mike Norris,1509,Renny Harlin,1986,0,-0.003926646157319861,0
169,10000000,Paramount Pictures,USA,Michelle Manning,Action,6947787,Blue City,R,1986-05-02 00:00:00,83,4.4,Judd Nelson,792,Ross Macdonald,1986,0,-0.3052213,-30
182,2000000,American Playhouse,USA,Jerrold Freedman,Drama,1301121,Native Son,PG,1986-12-12 00:00:00,111,5.9,Victor Love,448,Richard Wesley,1986,0,-0.3494395,-30
199,18000000,J&M; Entertainment,UK,Zoran Perisic,Action,2295500,Sky Bandits,PG,1986-10-31 00:00:00,100,4.6,Scott McGinnis,183,Thom Keyes,1986,0,-0.8724722222222222,-90
200,1500000,Cinetel Films,USA,Fred Olen Ray,Action,1368912,Armed Response,R,1986-10-03 00:00:00,86,4.9,David Carradine,489,T.L. Lankford,1986,0,-0.087392,-10
220,16000000,Act III Communications,USA,Rob Reiner,Adventure,30857814,The Princess Bride,PG,1987-10-09 00:00:00,98,8.1,Cary Elwes,320953,William Goldman,1987,1,0.928613375,90
221,1000000,Cinemarque Entertainment BV,UK,Clive Barker,Horror,14564027,Hellraiser,R,1987-09-18 00:00:00,94,7.0,Andrew Robinson,83209,Clive Barker,1987,1,13.564027,1360
222,30000000,Natant,UK,Stanley Kubrick,Drama,46357676,Full Metal Jacket,R,1987-07-10 00:00:00,116,8.3,Matthew Modine,537826,Gustav Hasford,1987,1,0.5452558666666667,50
223,6000000,Great American Films Limited Partnership,USA,Emile Ardolino,Drama,63952836,Dirty Dancing,PG-13,1987-08-21 00:00:00,100,6.9,Patrick Swayze,155978,Eleanor Bergstein,1987,1,9.658806,969
225,15000000,Amercent Films,USA,John McTiernan,Action,59735548,Predator,R,1987-06-12 00:00:00,107,7.8,Arnold Schwarzenegger,313213,Jim Thomas,1987,1,2.9823698666666667,300
226,27000000,Braveworld Productions,USA,Paul Michael Glaser,Action,38122105,The Running Man,R,1987-11-13 00:00:00,101,6.6,Arnold Schwarzenegger,120345,Stephen King,1987,1,0.41192981481481483,40
227,22700000,Brooksfilms,USA,Mel Brooks,Adventure,38119483,Spaceballs,PG,1987-06-24 00:00:00,96,7.1,Mel Brooks,146748,Mel Brooks,1987,1,0.6792723788546255,70
